"institution codes","number of results"
"NRM","0"
"B","83"
"ZFMK","1"
"RMRIMS","1"
"DB","6"
"USNM","0"
"IBIW","1"
"MFLU","0"
"RCC","16"
"MFLUCC","0"
"CBS","14"
"ICMP","2"
"DAOMC","0"
"NIES","3"
"CCF","13"
"KZP","0"
"NK","2"
"NFCCI","0"
"GUBH","0"
"LMG","3"
"KUMCC","0"
"MUCL","0"
"PDD","0"
"DAOM","0"
"TNS","4"
"PRM","0"
"PMA","3"
"PRC","5"
"INIA<CHL>","11"
"AMH","2"
"UBC","6"
"HKAS","0"
"TASM","0"
"NY","6"
"URM","0"
"NSMT","0"
"JCM","0"
"NBRC","1"
"SPMN","0"
"CGMCC","0"
"KCTC","0"
"NRRL","0"
"KACC","0"
"MCC","30"
"PAMC","0"
"DSM","12"
"CCTCC","0"
"NCPPB","0"
"KFCC","0"
"CNCM","0"
"MCCC","4"
"MTCC","0"
"FDA","2"
"ATCC","3"
"KCCM","0"
"NCCP","0"
"MRSN<USA>","41"
"CCBAU","0"
"CCUG","0"
"CBMAI","0"
"KCOM","0"
"CPCC","1"
"NCIMB","0"
"CICC","1"
"PCC","13"
"NCTC","2"
"CMCC","4"
"MCZ","1"
"UC<USA-CA>","96"
"UASB","1"
"TAU<ISR>","20"
"SMNH<ISR>","4"
"personal","9"
"GDGM","0"
"TROM","0"
"DU","622"
"NZFRI","0"
"IDEA","15"
"NCHU","2"
"XJNU","1"
"ZLVG","0"
"USMS","0"
"UCR<CRI>","22"
"NTM","2"
"CHR","10"
"BJFC","0"
"USM<MYS>","12"
"UAS","15"
"MLP","0"
"BRIP","0"
"US","33"
"CNU<KOR>","9"
"UAS-B","98"
"BPI","6"
"UAM","11"
"CUH","5"
"NHMW","1"
"HNHM<HUN>","3"
"TNM","1"
"CAL","18"
"SJRP","0"
"CANA","2"
"AH","4"
"GUM<IRN>","1"
"NMK","2"
"UGDA","0"
"KWP","0"
"MZB","0"
"UTA","3"
"NRC<EGY>","15"
"CCGVCC","0"
"BPBM","0"
"NZG","0"
"FH","20"
"CIMAP","2"
"UWO","1"
"TBRC","1"
"UCR<USA-CA>","53"
"ARSEF","0"
"MNHN","2"
"Personal","9"
"BNHS","1"
"UAMIZ","0"
"ZMUD","0"
"LG","7"
"GZAC","0"
"SEV","2"
"HMAS","0"
"M","119"
"CNHM<CRO>","11"
"ITCC<IND>","1"
"DEI","57"
"NHRS","0"
"ANIC","0"
"MSB","3"
"IHB","4"
"UFRN","1"
"FCME","0"
"FR","2"
"SAMA","5"
"AM","39"
"ABTC","0"
"INPA","1"
"USF","9"
"URM<BRA>","1"
"O","64"
"LE<RUS>","180"
"TENN","0"
"KR","3"
"KH","5"
"SARA","3"
"ROM","10"
"FPM","0"
"CAS","27"
"AAC","14"
"UO<CZE>","5"
"CNU<KOR-TJ>","10"
"HUEFS","0"
"PERTH","9"
"ZSI","1"
"BILAS","0"
"NTOU","1"
"PC","12"
"NYBG","1"
"INHS","2"
"MEXU","0"
"UPLB","1"
"MNRJ","0"
"INM<JPN>","3"
"CCDB<BRA>","1"
"BNI","3"
"ACAD","2"
"SDNU","1"
"KIEL","8"
"KEIB","0"
"TUM","2"
"FLOR","1"
"EGE","4"
"AUMC<EGY>","0"
"LZ","1"
"SIO","2"
"NBFGR","1"
"UNAM","5"
"RCPF","0"
"H","83"
"CONN","1"
"UMMZ","0"
"S","140"
"ZUEC","0"
"CAUP<CZH>","0"
"CECT","0"
"IABHU<JPN>","0"
"MAFF","1"
"IFM<JPN>","10"
"PSU<THA>","15"
"KUZ<JPN>","0"
"HIRO","0"
"FU<JPN>","10"
"KYUM<JPN>","0"
"TIMM","1"
"MPM<JPN>","2"
"HHUF","0"
"FAKU","0"
"HYO","1"
"SDNCU","0"
"KUHE","0"
"MAK","3"
"FU<JPM>","10"
"CBM","7"
"IFO","3"
"MUMH<JPN>","0"
"DMKU","0"
"NIAES","1"
"ZMUB","0"
"NCCP<PAK>","5"
"SYSBM","0"
"UICC","1"
"IBAR","1"
"KYO","0"
"MUMNH Hir","0"
"ICHUM","0"
"TMI","6"
"TUMH","0"
"MTUF","0"
"FOF","0"
"TRPM","0"
"TUS","0"
"KUMA","1"
"KNU16","0"
"OSA","2"
"KNU","13"
"KPM","3"
"ZMUC","0"
"TAIF","1"
"BCRC","3"
"IFM","10"
"MUCC<JPN>","0"
"VTCC","0"
"KMNH","0"
"FU","10"
"NGU","5"
"BSA","9"
"FMR","2"
"NMVF223094","0"
"KBP","1"
"Vondrak","0"
"Malicek","0"
"JPH","0"
