"institution codes","number of results"
"NRM","1"
"B","4026"
"ZFMK","1"
"RMRIMS","0"
"DB","42"
"USNM","2"
"IBIW","2"
"MFLU","3"
"RCC","1"
"MFLUCC","1"
"CBS","6"
"ICMP","1"
"DAOMC","0"
"NIES","14"
"CCF","8"
"KZP","0"
"NK","10"
"NFCCI","1"
"GUBH","1"
"LMG","1"
"CPC","2"
"KUMCC","0"
"MUCL","2"
"PDD","2"
"DAOM","5"
"TNS","6"
"PRM","1"
"PMA","9"
"PRC","2"
"AMH","5"
"UBC","7"
"HKAS","1"
"TASM","21"
"NY","70"
"URM","4"
"NSMT","1"
"JCM","1"
"NBRC","3"
"SPMN","0"
"CGMCC","1"
"KCTC","1"
"NRRL","2"
"KACC","1"
"MCC","17"
"PAMC","0"
"DSM","3"
"CCTCC","1"
"NCPPB","1"
"KFCC","1"
"CNCM","1"
"MCCC","2"
"MTCC","1"
"FDA","2"
"ATCC","3"
"KCCM","1"
"NCCP","3"
"CCBAU","1"
"CCUG","1"
"CBMAI","1"
"KCOM","0"
"CPCC","1"
"NCIMB","1"
"CICC","1"
"PCC","1"
"NCTC","1"
"CMCC","1"
"MCZ","2"
"UASB","2"
"personal","14"
"GDGM","1"
"TROM","4"
"DU","247"
"NZFRI","1"
"IDEA","2"
"NCHU","1"
"XJNU","1"
"ZLVG","0"
"USMS","6"
"NTM","2"
"CHR","53"
"BJFC","1"
"UAS","89"
"MLP","1"
"BRIP","2"
"US","1951"
"UAS-B","0"
"BPI","16"
"UAM","9"
"CUH","3"
"NHMW","1"
"TNM","1"
"CAL","314"
"SJRP","1"
"CANA","128"
"AH","29"
"NMK","3"
"UGDA","2"
"KWP","1"
"MZB","3"
"UTA","45"
"CCGVCC","1"
"BPBM","2"
"NZG","1"
"FH","16"
"CIMAP","1"
"UWO","1"
"TBRC","1"
"ARSEF","1"
"MNHN","11"
"Personal","14"
"BNHS","1"
"UAMIZ","1"
"ZMUD","1"
"LG","14"
"GZAC","1"
"SEV","52"
"HMAS","1"
"M","5110"
"DEI","11"
"NHRS","1"
"ANIC","1"
"MSB","3"
"IHB","1"
"UFRN","1"
"FCME","1"
"FR","505"
"SAMA","11"
"AM","0"
"ABTC","1"
"INPA","3"
"USF","7"
"O","1369"
"TENN","28"
"KR","143"
"KH","80"
"SARA","95"
"ROM","59"
"FPM","1"
"CAS","138"
"AAC","1"
"HUEFS","2"
"PERTH","17"
"ZSI","8"
"BILAS","2"
"NTOU","1"
"PC","17"
"NYBG","1"
"INHS","13"
"MEXU","3"
"UPLB","3"
"MNRJ","1"
"BNI","1"
"ACAD","360"
"SDNU","1"
"KIEL","6"
"KEIB","0"
"TUM","9"
"FLOR","307"
"EGE","8"
"LZ","7"
"SIO","4"
"NBFGR","1"
