accession,uid,voucher,subname,subtype,source_identifier,institution_code,specimen_id,specimen_idA,specimen_idB,definition
MN752820,1852459171,NW63-3,NW63_3,specimen_voucher,NW63_3,,NW63_3,,,"Aglais urticae voucher NW63_3 dopa decarboxylase (DDC) gene, partial cds"
AF412777,15788388,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 wingless (wg) gene, partial cds"
AY248811,32263566,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 elongation factor-1 alpha (EF1a) gene, partial cds"
AY248786,32263516,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial"
GQ865282,269118098,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 ribosomal protein S2 (RpS2) gene, partial cds"
GQ865161,269117856,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 cytosolic malate dehydrogenase (MDH) gene, partial cds"
GQ865055,269117644,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 isocitrate dehydrogenase (IDH) gene, partial cds"
GQ864599,269116732,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 CAD (CAD) gene, partial cds"
GQ864509,269116552,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 arginine kinase (ArgKin) gene, partial cds"
FJ639577,237857304,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 ribosomal protein S5 (RpS5) gene, partial cds"
FJ639522,237857194,NW63-3,NW63-3,specimen_voucher,NW63-3,,NW63-3,,,"Aglais urticae voucher NW63-3 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KX049851,1044883399,NHMO-06179,"NHMO-06179|Norway: Finnmark, porsanger, Garadak|70.2542 N 25.0186 E|01-Jul-2006|Nedreberg, Per|Leif Aarvik",specimen_voucher|country|lat_lon|collection_date|collected_by|identified_by,NHMO-06179,,NHMO-06179,,,"Agriades aquilo voucher NHMO-06179 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
GQ129041,266634984,AD00P259,"MCZ:AD00P259|Agriades pyrenaicus dardanus|Armenia: Gnishyk, Aiodzor Mountains",specimen_voucher|old_name|country,MCZ:AD00P259,MCZ,AD00P259,,,"Plebejus dardanus voucher MCZ:AD00P259 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence"
GQ128633,266634789,AD00P259,"MCZ:AD00P259|Agriades pyrenaicus dardanus|Armenia: Gnishyk, Aiodzor Mountains",specimen_voucher|old_name|country,MCZ:AD00P259,MCZ,AD00P259,,,"Plebejus dardanus voucher MCZ:AD00P259 elongation factor 1 alpha (Ef-1a) gene, partial cds"
GQ128732,264687386,AD00P259,"MCZ:AD00P259|Agriades pyrenaicus dardanus|Armenia: Gnishyk, Aiodzor Mountains",specimen_voucher|old_name|country,MCZ:AD00P259,MCZ,AD00P259,,,"Plebejus dardanus voucher MCZ:AD00P259 histone H3 (H3) gene, partial cds"
GQ128944,264687099,AD00P259,"MCZ:AD00P259|Agriades pyrenaicus dardanus|Armenia: Gnishyk, Aiodzor Mountains",specimen_voucher|old_name|country,MCZ:AD00P259,MCZ,AD00P259,,,"Plebejus dardanus voucher MCZ:AD00P259 cytochrome c oxidase I (COI) gene, partial cds; tRNA-Leu gene, complete sequence; and cytochrome c oxidase II (COII) gene, complete cds; mitochondrial"
GQ128558,264686945,AD00P259,"MCZ:AD00P259|Agriades pyrenaicus dardanus|Armenia: Gnishyk, Aiodzor Mountains",specimen_voucher|old_name|country,MCZ:AD00P259,MCZ,AD00P259,,,"Plebejus dardanus voucher MCZ:AD00P259 carbamoyl phosphate synthetase II domain (CAD) gene, partial cds"
