Vouchers from paper,Vouchers with 1 or more GenBank IDs,Vouchers with 0 GenBank IDs,Vouchers linked to the species studied,Vouchers linked to other species
2005-LOWA-106,2005-LOWA-106,BC_SB_Lep_0030,2005-LOWA-178,2005-LOWA-106
2005-LOWA-178,2005-LOWA-178,BC_ZSM_Lep_45815,2005-LOWA-28,AD00P266
2005-LOWA-28,2005-LOWA-28,BC-TB9599,2005-LOWA-319,ColCau
2005-LOWA-319,2005-LOWA-319,CCDB-02225-C02,2005-LOWA-442,CP16-21
2005-LOWA-442,2005-LOWA-442,CCDB-02225-C06,2005-LOWA-629,DNA2245
2005-LOWA-629,2005-LOWA-629,CCDB-03033 E07,2005-LOWA-680,F18
2005-LOWA-680,2005-LOWA-680,CupArg,2005-LOWA-750,FS-2046
2005-LOWA-750,2005-LOWA-750,DNAwth_Tomares_093,2005-LOWA-799,FS-a-342
2005-LOWA-799,2005-LOWA-799,EreArv,2005-LOWA-842,FS-b-2038
2005-LOWA-842,2005-LOWA-842,KN00813,390ADW,FS-b-2401
390ADW,390ADW,KrePsy,570-ADW,FS-b-2405
570-ADW,570-ADW,LEP22825,AB7-2,FS-b-3797
AB7-2,AB7-2,LycDis,AB7-6,HESP-EB_01608
AB7-6,AB7-6,NP13A032,AC1-10,ILL_084
AC1-10,AC1-10,RE04C201,AC21-8,isolate_1043
AC21-8,AC21-8,RE07G166,AC4-1,JC00040
AC4-1,AC4-1,RE07G218,AC6-14,JC00045
AC6-14,AC6-14,RV03H546,AC6-6,M14
AC6-6,AC6-6,RV06A043,AC8-10,M187
AC8-10,AC8-10,RV06A259,AC8-11,M318
AC8-11,AC8-11,RV06A260,AC8-13,M32
AC8-13,AC8-13,RV06J002,AC9-2,M339
AC9-2,AC9-2,RV06J009,AD00P019,MAT99Q910
AD00P019,AD00P019,RV06K682,AD00P066,MAT99Q923
AD00P066,AD00P066,RV06K689,AD00P092,MAT99Q972
AD00P092,AD00P092,RV06M907,AD00P129,MM04799
AD00P129,AD00P129,RV06V650,AD00P155,NW151-19
AD00P155,AD00P155,RV06V700,AD00P259,NW151-22
AD00P259,AD00P259,RV06V703,AD00P369,NW151-24
AD00P266,AD00P266,RV07C087,AD00P540,NW151-7
AD00P369,AD00P369,RV07C520,AD00P560,NW151-8
AD00P540,AD00P540,RV07D138,AD02W127,NW156-24
AD00P560,AD00P560,RV07D402,AD03B041,NW6-2
AD02W127,AD02W127,RV07D404,AD03B062,NW6-3
AD03B041,AD03B041,RV07D534,AD03B064,NW63-16
AD03B062,AD03B062,RV07D788,AF074004,PapHos
AD03B064,AD03B064,RV07E080,AH95Y685,RE07G203
AF074004,AF074004,RV07E444,BA09010,REHU67.1
AH95Y685,AH95Y685,RV07E474,BAFebe003,RVcoll.12-N297
BA09010,BA09010,RV07E662,BAFebg003,RVcoll.14-G084
BAFebe003,BAFebe003,RV07E671,BAFebh002,RVcoll.14-O269
BAFebg003,BAFebg003,RV07E673,BAFec004,SS_2
BAFebh002,BAFebh002,RV07F536,BAFet002,TS-12
BAFec004,BAFec004,RV07W205,BC_Back_0059,VL01L462
BAFet002,BAFet002,RV-07-Z083,BC_ZSM_Lep_18599,VL03F903
BC_Back_0059,BC_Back_0059,RV08H299,BC_ZSM_Lep_30666,ZF-LY-002100
BC_SB_Lep_0030,BC_ZSM_Lep_18599,RV08H913,BC_ZSM_Lep_30727,
BC_ZSM_Lep_18599,BC_ZSM_Lep_30666,RV08H962,BC_ZSM_Lep_45307,
BC_ZSM_Lep_30666,BC_ZSM_Lep_30727,RV08H982,BC_ZSM_Lep_50318,
BC_ZSM_Lep_30727,BC_ZSM_Lep_45307,RV08J472,BC_ZSM_Lep_50420,
BC_ZSM_Lep_45307,BC_ZSM_Lep_50318,RV08J988,BC_ZSM_Lep_53286,
BC_ZSM_Lep_45815,BC_ZSM_Lep_50420,RV08L009,BT05001,
BC_ZSM_Lep_50318,BC_ZSM_Lep_53286,RV08L140,BT96001,
BC_ZSM_Lep_50420,BT05001,RV08L259,CB11-1,
BC_ZSM_Lep_53286,BT96001,RV08M309,CB12-16,
BC-TB9599,CB11-1,RV08M378,CB12-17,
BT05001,CB12-16,RV08M437,CB4-6,
BT96001,CB12-17,RV08M455,CB4-9,
CB11-1,CB4-6,RV08M549,CB7-1,
CB12-16,CB4-9,RV08M567,CB9-2,
CB12-17,CB7-1,RV08M576,CB9-3,
CB4-6,CB9-2,RV08M586,CBjS07-1066h,
CB4-9,CB9-3,RV08M616,CP10-08,
CB7-1,CBjS07-1066h,RV08M655,CP10-09,
CB9-2,ColCau,RV08M794,CP10-14,
CB9-3,CP10-08,RV08P034,CP11-06,
CBjS07-1066h,CP10-09,RV08P504,CP-AC23-83,
CCDB-02225-C02,CP10-14,RV08R184,CP-B01,
CCDB-02225-C06,CP11-06,RV08R208,cpm6,
CCDB-03033 E07,CP16-21,RV08R494,DG06001,
ColCau,CP-AC23-83,RV09T179,DL-12-A049,
CP10-08,CP-B01,RV09V415,DNAwthmel_004,
CP10-09,cpm6,RV10A098,DNAwthmel_195,
CP10-14,DG06001,RV10A203,DNAwthmel_305,
CP11-06,DL-12-A049,RV10C243,EJ15001,
CP16-21,DNA2245,RV11D924,EW1-1,
CP-AC23-83,DNAwthmel_004,RV11E157,EW2-1,
CP-B01,DNAwthmel_195,RV11E512,EW24-1,
cpm6,DNAwthmel_305,RV12M706,EW24-10,
CupArg,EJ15001,RV12M906,EW24-17,
DG06001,EW1-1,RV12O113,EW24-2,
DL-12-A049,EW2-1,RV12O525,EW24-21,
DNA2245,EW24-1,RVcoll16J867,EW24-23,
DNAwth_Tomares_093,EW24-10,RVLD415,EW24-25,
DNAwthmel_004,EW24-17,SatPru,EW24-7,
DNAwthmel_195,EW24-2,VL01B184,EW25-24,
DNAwthmel_305,EW24-21,VL01Q138,EW26-19,
EJ15001,EW24-23,VL05N271,EW26-21,
EreArv,EW24-25,VNLEP00004,EW28-16,
EW1-1,EW24-7,VNLEP00084,EW3-14,
EW2-1,EW25-24,,EW3-6,
EW24-1,EW26-19,,EW4-1,
EW24-10,EW26-21,,EW4-2,
EW24-17,EW28-16,,EW4-5,
EW24-2,EW3-14,,EW5-1,
EW24-21,EW3-6,,EW5-18,
EW24-23,EW4-1,,EW5-19,
EW24-25,EW4-2,,EW7-3,
EW24-7,EW4-5,,EW7-6,
EW25-24,EW5-1,,EW9-2,
EW26-19,EW5-18,,EW9-4,
EW26-21,EW5-19,,FS-a-6,
EW28-16,EW7-3,,FS-a-88,
EW3-14,EW7-6,,FS-b-1596,
EW3-6,EW9-2,,FS-b-1868,
EW4-1,EW9-4,,FS-b-2453,
EW4-2,F18,,FS-b-2465,
EW4-5,FS-2046,,FS-b-3723,
EW5-1,FS-a-342,,FS-b-3725,
EW5-18,FS-a-6,,FS-b-40,
EW5-19,FS-a-88,,FS-b-4220,
