Species name,Full name,Family,Subfamily,Genus,Species,ID,Voucher,Dataset,COI-barcode,COI-3',nuclear,voucher_identical,ArgKin,CAD,DDC,EF-1a,GAPDH,H3,IDH,MDH,RpS2,RpS5,wingless,Remarks
Aglais ichnusa,"Aglais ichnusa (Hübner, 1824)",Nymphalidae,Nymphalinae,Aglais,ichnusa,WMB1577-13,RV12O525,Nymphalinae,MH419480,,FALSE,#N/A,,,,,,,,,,,,
Aglais io,"Aglais io (Linnaeus, 1758)",Nymphalidae,Nymphalinae,Aglais,io,NW63-16,NW63-16,Nymphalinae,AY248785,AY248785,TRUE,TRUE,MN752826,MN752809,MN752818,AY248810,FJ639521,,,MN752745,,FJ639576,AF412766,
Aglais urticae,"Aglais urticae (Linnaeus, 1758)",Nymphalidae,Nymphalinae,Aglais,urticae,NW63-3,NW63-3,Nymphalinae,AY248786,AY248786,TRUE,TRUE,GQ864509,GQ864599,MN752820,AY248811,FJ639522,,GQ865055,GQ865161,GQ865282,FJ639577,AF412777,
Agriades aquilo,"Agriades aquilo (Boisduval, 1832)",Lycaenidae,Polyommatinae,Agriades,aquilo,NHMO-06179,NHMO-06179,Lycaenidae,KX049851,,FALSE,#N/A,,,,,,,,,,,,
Agriades dardanus,"Agriades dardanus (Freyer, 1843)",Lycaenidae,Polyommatinae,Agriades,dardanus,AD00P259,AD00P259,Lycaenidae,GQ128944,GQ128944,TRUE,TRUE,,GQ128558,,GQ128633,,GQ128732,,,,,GQ128840,
Agriades glandon,"Agriades glandon (Prunner, 1798)",Lycaenidae,Polyommatinae,Agriades,glandon,VL05Z994,VL05Z994,Lycaenidae,GQ128942,GQ128942,TRUE,FALSE,,,,EU326285,,GQ128729,,,,,,
Agriades optilete,"Agriades optilete (Knoch, 1781)",Lycaenidae,Polyommatinae,Agriades,optilete,VL01B424,VL01B424,Lycaenidae,GQ129011,GQ129011,TRUE,TRUE,,GQ128630,,GQ128699,,GQ128803,,,,,GQ128910,
Agriades orbitulus,"Agriades orbitulus (Prunner, 1798)",Lycaenidae,Polyommatinae,Agriades,orbitulus,AD03B064,AD03B064,Lycaenidae,GQ128945,GQ128945,TRUE,TRUE,,GQ128560,,GQ128634,,GQ128734,,,,,GQ128842,
Agriades pyrenaicus,"Agriades pyrenaicus (Boisduval, 1840)",Lycaenidae,Polyommatinae,Agriades,pyrenaicus,MW99018,MW99018,Lycaenidae,AY557030,,FALSE,#N/A,,,,,,,,,,,,
Agriades zullichi,"Agriades zullichi Hemming, 1933",Lycaenidae,Polyommatinae,Agriades,zullichi,RVcoll.09-V415,RV09V415,Lycaenidae,HM901731,,FALSE,#N/A,,,,,,,,,,,,
Anthocharis cardamines,"Anthocharis cardamines (Linnaeus, 1758)",Pieridae,Pierinae,Anthocharis,cardamines,NW151-2,NW151-2,Pieridae,KM046799,KM046799,TRUE,FALSE,,KM046912,,JX495351,KM046841,,KM046735,KM046672,,KM046601,KM046563,
Anthocharis damone,"Anthocharis damone Boisduval, 1836",Pieridae,Pierinae,Anthocharis,damone,WMB1125-13,WMB1125-13,Pieridae,MN139212,,FALSE,#N/A,,,,,,,,,,,,
