Species,BGT database # and source material,Voucher info,Institution codes
Lithocarpus aggregatus Barnett,821 Silica,"Chamchunroon 5181 (BKF), Chiang Mai, Thailand (2011)",BKF
Lithocarpus aggregatus Barnett,933 Silica,"Sirimongkol 424 (BKF), Khamphaengphet, Thailand (2012)",BKF
Lithocarpus apoensis (Elmer) Rehder,3293 Herbarium,"Price & Hernaez 745 (L), Samar, Philippines (1975)",L
Lithocarpus apoensis (Elmer) Rehder,3294 Herbarium,"Jacobs 8000 (L), Luzon, Philippines (1968)",L
Lithocarpus aspericupulus (Markgr.) Rehder,3281 Herbarium,"Vink 15331 (L), Vogelkop Peninsula, Papua New Guinea (1962)",L
Lithocarpus atjehensis Hatus. Ex Soepadmo,3259 Herbarium,"De Wilde & de Wilde-Duyfjes 16001 (L), Sumatra, Indonesia (1975)",L
Lithocarpus atjehensis Hatus. Ex Soepadmo,3260 Herbarium,"De Wilde & Wilde-Duyfjes 16128 (L), Sumatra, Indonesia (1975)",L
Lithocarpus auriculatus (Hickel & A. Camus) A. Camus,1977 Silica,"Fuse K. L2 (KYO), Laos",KYO
Lithocarpus bancanus (Scheff.) Rehder,793 Silica,"Chamchunroon 5153 (BKF), Chiang Mai, Thailand (2011)",BKF
Lithocarpus bennettii (Miq.) Rehder,980 Silica,"Strijk 980 (BGT), Nee Soon, Singapore (2012)",BGT
Lithocarpus cantleyanus (King ex Hook f.) Rehder,977 Silica,"Strijk 977 (BGT), Singapore (2012)",BGT
Lithocarpus caudatifolius (Merr.) Rehder,1367 Silica,"Strijk 1367 (BGT), Sabah, Malaysia (2014)",BGT
Lithocarpus dasystachyus (Miq.) Rehder,1727 Silica,"Strijk 1727 (BGT), Borneo (2014)",BGT
Lithocarpus edulis (Makino) Nakai,3140 Herbarium,"Fujii 8676 (L), Tsushima, Japan (2001)",L
Lithocarpus edulis (Makino) Nakai,1943 Silica,"Tagane S. 111 (KAG), Mt. Boroishi, Japan",KAG
Lithocarpus elephantum (Hance) A. Camus,1961 Silica,"Toyama et al. 654 (KYO), Central Cardamon, Cambodia",KYO
Lithocarpus ewyckii (Korth.) Rehder,984 Silica,"Strijk 984 (BGT), Bukit Timah, Singapore (2012)",BGT
Lithocarpus formosanus (Skan) Hayata,3261 Herbarium,"Liao 992 (L), Mt. Hiiran, Taiwan (1967)",L
Lithocarpus formosanus (Skan) Hayata,3262 Herbarium,"Bogle et al s.n. (L), Nan-rinshan, Taiwan (1962)",L
Lithocarpus gracilis (Korth.) Soepadmo,987 Silica,"Strijk 987 (BGT), Bukit Timah, Singapore (2012)",BGT
Lithocarpus imperialis (Seemen) Markgr.,3345 Herbarium,"Frodin & Hay 6594 (L), Central Province, New Guinea (1978)",L
Lithocarpus indutus (Blume.) Rehder,2661 Herbarium,"Yahara et al. G48 (KYO), Gede, Java, Indonesia",KYO
Lithocarpus indutus (Blume.) Rehder,2666 Silica,"Yahara et al. IJ963 (KYO) Gede, Java, Indonesia",KYO
