accession,country,location,description,scientific_name,bio_material,culture_collection,specimen_voucher,institution_codeA,culture_id,institution_codeB,specimen_id,sample_accession,study_accession
KU760374,Thailand,,"Stachybotrys sp. isolate PCP 9-33-1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:15-0660,MFLU:15-3267,MFLU,15-0660,MFLU,15-3267,,
KU760375,Thailand,,"Stachybotrys sp. isolate KLM 10-1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:16-0028,MFLU:15-3272,MFLU,16-0028,MFLU,15-3272,,
KU760376,Thailand,,"Stachybotrys sp. isolate WTSP 17-2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:15-1074,MFLU:15-3269,MFLU,15-1074,MFLU,15-3269,,
KU760377,Thailand,,"Stachybotrys sp. isolate KLM 3-2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:15-0830,MFLU:15-3270,MFLU,15-0830,MFLU,15-3270,,
KU760379,Thailand,,"Stachybotrys sp. isolate PCP 9-33-1 18S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:15-0660,MFLU:15-3267,MFLU,15-0660,MFLU,15-3267,,
KU760380,Thailand,,"Stachybotrys sp. isolate KLM 10-1 18S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:16-0028,MFLU:15-3272,MFLU,16-0028,MFLU,15-3272,,
KU760381,Thailand,,"Stachybotrys sp. isolate WTSP 17-2 18S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:15-1074,MFLU:15-3269,MFLU,15-1074,MFLU,15-3269,,
KU760382,Thailand,,"Stachybotrys sp. isolate KLM 3-2 18S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:15-0830,MFLU:15-3270,MFLU,15-0830,MFLU,15-3270,,
KU760384,Thailand,,"Stachybotrys sp. isolate PCP 9-33-1 28S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:15-0660,MFLU:15-3267,MFLU,15-0660,MFLU,15-3267,,
KU760385,Thailand,,"Stachybotrys sp. isolate KLM 10-1 28S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:16-0028,MFLU:15-3272,MFLU,16-0028,MFLU,15-3272,,
KU760386,Thailand,,"Stachybotrys sp. isolate WTSP 17-2 28S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:15-1074,MFLU:15-3269,MFLU,15-1074,MFLU,15-3269,,
KU760387,Thailand,,"Stachybotrys sp. isolate KLM 3-2 28S ribosomal RNA gene, partial sequence.",Stachybotrys sp.,,MFLU:15-0830,MFLU:15-3270,MFLU,15-0830,MFLU,15-3270,,
KU760389,Thailand,,"Stachybotrys sp. isolate PCP 9-33-1 translation elongation factor 1-alpha (tef1) gene, partial cds.",Stachybotrys sp.,,MFLU:15-0660,MFLU:15-3267,MFLU,15-0660,MFLU,15-3267,,
KU760390,Thailand,,"Stachybotrys sp. isolate KLM 10-1 translation elongation factor 1-alpha (tef1) gene, partial cds.",Stachybotrys sp.,,MFLU:16-0028,MFLU:15-3272,MFLU,16-0028,MFLU,15-3272,,
KU760391,Thailand,,"Stachybotrys sp. isolate WTSP 17-2 translation elongation factor 1-alpha (tef1) gene, partial cds.",Stachybotrys sp.,,MFLU:15-1074,MFLU:15-3269,MFLU,15-1074,MFLU,15-3269,,
KU760392,Thailand,,"Stachybotrys sp. isolate KLM 3-2 translation elongation factor 1-alpha (tef1) gene, partial cds.",Stachybotrys sp.,,MFLU:15-0830,MFLU:15-3270,MFLU,15-0830,MFLU,15-3270,,
KU760394,Thailand,,"Stachybotrys sp. isolate PCP 9-33-1 RNA polymerase II second largest subunit (rpb2) gene, partial cds.",Stachybotrys sp.,,MFLU:15-0660,MFLU:15-3267,MFLU,15-0660,MFLU,15-3267,,
KU760395,Thailand,,"Stachybotrys sp. isolate KLM 10-1 RNA polymerase II second largest subunit (rpb2) gene, partial cds.",Stachybotrys sp.,,MFLU:16-0028,MFLU:15-3272,MFLU,16-0028,MFLU,15-3272,,
KU760396,Thailand,,"Stachybotrys sp. isolate WTSP 17-2 RNA polymerase II second largest subunit (rpb2) gene, partial cds.",Stachybotrys sp.,,MFLU:15-1074,MFLU:15-3269,MFLU,15-1074,MFLU,15-3269,,
KU760397,Thailand,,"Stachybotrys sp. isolate KLM 3-2 RNA polymerase II second largest subunit (rpb2) gene, partial cds.",Stachybotrys sp.,,MFLU:15-0830,MFLU:15-3270,MFLU,15-0830,MFLU,15-3270,,
KX009641,France,48.34 N 4.29 W,"Scrippsiella donghaienis isolate 55AI48 28S ribosomal RNA gene, partial sequence.",Scrippsiella donghaienis,,RCC:4735,IFR-SDO-S5,RCC,4735,,IFR-SDO-S5,,
KX009642,France,48.34 N 4.29 W,"Scrippsiella donghaienis isolate 55AI58 28S ribosomal RNA gene, partial sequence.",Scrippsiella donghaienis,,RCC:4736,IFR-SDO-S8,RCC,4736,,IFR-SDO-S8,,
KX009643,France,48.34 N 4.29 W,"Scrippsiella donghaienis isolate 55AI50 28S ribosomal RNA gene, partial sequence.",Scrippsiella donghaienis,,RCC:4737,IFR-SDO-S7,RCC,4737,,IFR-SDO-S7,,
KX009644,France,48.34 N 4.29 W,"Scrippsiella trochoidea isolate 55AI54 28S ribosomal RNA gene, partial sequence.",Scrippsiella trochoidea,,RCC:4738,IFR-STR-S2,RCC,4738,,IFR-STR-S2,,
KX009645,France,48.34 N 4.29 W,"Scrippsiella trochoidea isolate 55AI60 28S ribosomal RNA gene, partial sequence.",Scrippsiella trochoidea,,RCC:4739,IFR-STR-S3,RCC,4739,,IFR-STR-S3,,
KX009646,France,48.34 N 4.29 W,"Scrippsiella trochoidea isolate 55AI64 28S ribosomal RNA gene, partial sequence.",Scrippsiella trochoidea,,RCC:4740,IFR-STR-S9,RCC,4740,,IFR-STR-S9,,
