accession,country,location,description,scientific_name,bio_material,culture_collection,specimen_voucher,institution_codeA,collection_codeA,material_id,institution_codeB,collection_codeB,specimen_id,sample_accession,study_accession
KT289390,"Spain:Canary Islands, Fuerteventura",28.1 N 14.36 W,"Calacalles fuerteventurensis voucher ZFMK-TIS-23889 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Calacalles fuerteventurensis,ZFMK-DNA-0171661260,,ZFMK-TIS-23889,,,ZFMK-DNA-0171661260,,,ZFMK-TIS-23889,,
KT289391,"Spain:Canary Islands, Fuerteventura",28.12 N 14.33 W,"Calacalles fuerteventurensis voucher ZFMK-TIS-23892 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Calacalles fuerteventurensis,ZFMK-DNA-0171661250,,ZFMK-TIS-23892,,,ZFMK-DNA-0171661250,,,ZFMK-TIS-23892,,
KT823495,Spain:Gran Canaria,28.0 N 15.59 W,"Hesperorrhynchus cf. incautus ZFMK-TIS-26212 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Hesperorrhynchus cf. incautus ZFMK-TIS-26212,ZFMK-DNA-0171661906,,ZFMK-TIS-26212,,,ZFMK-DNA-0171661906,,,ZFMK-TIS-26212,,
KT823496,Portugal:Madeira,32.83 N 16.97 W,"Hesperorrhynchus cf. glutinosus ZFMK-TIS-26127 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Hesperorrhynchus cf. glutinosus ZFMK-TIS-26127,ZFMK-DNA-0169166969,,ZFMK-TIS-26127,,,ZFMK-DNA-0169166969,,,ZFMK-TIS-26127,,
KT823497,Portugal:Madeira,32.87 N 17.2 W,"Hesperorrhynchus glutinosus voucher ZFMK-TIS-26148 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Hesperorrhynchus glutinosus,ZFMK-DNA-0169166948,,ZFMK-TIS-26148,,,ZFMK-DNA-0169166948,,,ZFMK-TIS-26148,,
KU170192,Portugal:Madeira Island,32.76 N 17.23 W,"Torneuma isambertoi voucher ZFMK-TIS-26144 bio-material ZFMK-DNA-0169166963 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Torneuma isambertoi,ZFMK-DNA-0169166963,,ZFMK-TIS-26144,,,ZFMK-DNA-0169166963,,,ZFMK-TIS-26144,,
KU170193,Portugal:Madeira Island,32.76 N 17.23 W,"Torneuma isambertoi voucher ZFMK-TIS-26145 bio-material ZFMK-DNA-0169166951 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Torneuma isambertoi,ZFMK-DNA-0169166951,,ZFMK-TIS-26145,,,ZFMK-DNA-0169166951,,,ZFMK-TIS-26145,,
KU366275,Spain:Gran Canaria,27.93 N 15.46 W,"Ceutorhynchus paroliniae voucher ZFMK-TIS-26565 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Ceutorhynchus paroliniae,ZFMK-DNA-0171661907,,ZFMK-TIS-26565,,,ZFMK-DNA-0171661907,,,ZFMK-TIS-26565,,
KU839621,India,,"Danio rerio voucher ARU/ZOO/VU-02 cytochrome c oxidase subunit I gene, partial cds; mitochondrial.",Danio rerio,VU-ZOO-02,,ARU/ZOO/VU-02,,,VU-ZOO-02,,,ARU/ZOO/VU-02,,
KU932050,"Spain:Canary Islands, Fuerteventura",28.42 N 14.06 W,"Ceutorhynchus pyrrhorhynchus canariensis voucher ZFMK-TIS-23874 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Ceutorhynchus pyrrhorhynchus canariensis,ZFMK-DNA-0171661280,,ZFMK-TIS-23874,,,ZFMK-DNA-0171661280,,,ZFMK-TIS-23874,,
KU932051,"Spain:Canary Islands, Fuerteventura",28.58 N 13.92 W,"Ceutorhynchus pyrrhorhynchus canariensis voucher ZFMK-TIS-23883 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Ceutorhynchus pyrrhorhynchus canariensis,ZFMK-DNA-0171661266,,ZFMK-TIS-23883,,,ZFMK-DNA-0171661266,,,ZFMK-TIS-23883,,
KU942332,"Spain: Canary Islands, Fuerteventura",28.42 N 14.06 W,"Smicronyx albosquamosus voucher ZFMK-TIS-23876 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Smicronyx albosquamosus,ZFMK-DNA-0171661282,,ZFMK-TIS-23876,,,ZFMK-DNA-0171661282,,,ZFMK-TIS-23876,,
KX668530,Panama,9.36 N 82.19 W,"Plakortis deweerdtaephila voucher USNM:1254645 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Plakortis deweerdtaephila,Plakortis deweerdtaephila,,USNM:1254645,,,Plakortis deweerdtaephila,USNM,,1254645,,
